"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","LM154022005.Q","LM154022006.Q","LM154022075.Q","LM154022076.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC154022375.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"1955:Q1",  1505875,533.80,  1632190,578.58,  126315, 44.78,  527830,187.11,  1104360,391.47,   78237, 27.73,  35702,12.66,  12376, 4.39,  341601,121.09, 140764,49.90,  45465,16.12,  167823, 59.49,  229229, 81.26,    6463, 2.29,  38748,13.74,   2807, 1.00,  160517, 56.90,  335803,119.04, 162970,57.77,   21754,    6806,   1749,    4868,    8331,  282103
"1954:Q4",  1484121,536.34,  1607213,580.82,  123092, 44.48,  520894,188.24,  1086319,392.58,   75356, 27.23,  35963,13.00,  11773, 4.25,  337554,121.99, 138718,50.13,  44622,16.13,  166045, 60.01,  222894, 80.55,    5992, 2.17,  37084,13.40,   2722, 0.98,  156554, 56.58,  333825,120.64, 161203,58.26,   17183,    1764,   -184,    8214,    7389,  276713
"1954:Q3",  1466938,539.76,  1584701,583.09,  117763, 43.33,  510860,187.97,  1073841,395.12,   72336, 26.62,  34242,12.60,  11185, 4.12,  329781,121.34, 136944,50.39,  44135,16.24,  162898, 59.94,  221809, 81.61,    5313, 1.95,  37369,13.75,   2621, 0.96,  152687, 56.18,  331710,122.05, 159434,58.66,   36238,   18593,   -974,    9571,    9048,  271778
"1954:Q2",  1430699,530.24,  1545011,572.61,  114312, 42.37,  501395,185.83,  1043616,386.78,   69614, 25.80,  34006,12.60,  10692, 3.96,  320732,118.87, 137068,50.80,  43595,16.16,  157058, 58.21,  203774, 75.52,    4755, 1.76,  38450,14.25,   2514, 0.93,  148889, 55.18,  330343,122.43, 157833,58.50,   21692,   15568,   -499,    4329,    2294,  269820
"1954:Q1",  1409008,521.99,  1519504,562.92,  110496, 40.93,  498301,184.60,  1021203,378.32,   67351, 24.95,  32744,12.13,  10401, 3.85,  316592,117.29, 138372,51.26,  43337,16.05,  155101, 57.46,  188597, 69.87,    4364, 1.62,  39020,14.46,   2443, 0.91,  144962, 53.70,  330434,122.41, 156282,57.90,   22776,   11391,    443,    1566,    9376,  269931
"1953:Q4",  1386232,518.77,  1496856,560.17,  110624, 41.40,  493418,184.65,  1003438,375.51,   65938, 24.68,  34614,12.95,  10072, 3.77,  315055,117.90, 135125,50.57,  43238,16.18,  154668, 57.88,  177571, 66.45,    3999, 1.50,  38681,14.48,   2339, 0.88,  141122, 52.81,  330215,123.58, 154843,57.95,   20789,   14125,   -605,   -1413,    8682,  267217
"1953:Q3",  1365443,511.48,  1472672,551.65,  107229, 40.17,  493036,184.69,   979636,366.96,   64205, 24.05,  33354,12.49,   9670, 3.62,  316348,118.50, 133388,49.97,  43300,16.22,  151399, 56.71,  163841, 61.37,    3604, 1.35,  39364,14.75,   2261, 0.85,  137228, 51.40,  328684,123.12, 153255,57.41,   14588,   -4735,    388,   10094,    8841,  266957
"1953:Q2",  1350855,506.32,  1455554,545.56,  104699, 39.24,  481976,180.65,   973578,364.91,   62225, 23.32,  32672,12.25,   9802, 3.67,  306680,114.95, 132497,49.66,  42799,16.04,  147194, 55.17,  168575, 63.18,    3605, 1.35,  39045,14.63,   2192, 0.82,  133313, 49.97,  327737,122.84, 151917,56.94,    2233,   -9308,   3887,    6851,     803,  266799
"1953:Q1",  1348622,512.85,  1448829,550.95,  100207, 38.11,  472950,179.85,   975879,371.10,   60006, 22.82,  30901,11.75,   9300, 3.54,  300182,114.15, 130396,49.59,  42372,16.11,  147798, 56.20,  177850, 67.63,    3638, 1.38,  35208,13.39,   2142, 0.81,  129334, 49.18,  329104,125.15, 150805,57.35,   10379,   -3314,    112,    5492,    8089,  262968
"1952:Q4",  1338242,516.89,  1436132,554.70,   97890, 37.81,  463998,179.22,   972134,375.48,   58416, 22.56,  30522,11.79,   8952, 3.46,  294752,113.85, 127000,49.05,  42246,16.32,  145149, 56.06,  181107, 69.95,    3695, 1.43,  35169,13.58,   2069, 0.80,  125432, 48.45,  330661,127.72, 148852,57.49,    3899,  -10831,    505,   10712,    3513,  258904
"1952:Q3",  1334343,527.29,  1427784,564.21,   93441, 36.92,  453488,179.20,   974296,385.01,   56640, 22.38,  27965,11.05,   8836, 3.49,  284584,112.46, 127239,50.28,  41665,16.46,  140793, 55.64,  192052, 75.89,    3581, 1.42,  34755,13.73,   1978, 0.78,  121723, 48.10,  332825,131.52, 146589,57.93,   12825,    -353,   1732,    1429,   10017,  253057
"1952:Q2",  1321518,536.23,  1411929,572.91,   90411, 36.69,  448848,182.13,   963081,390.79,   54798, 22.24,  26878,10.91,   8735, 3.54,  283505,115.04, 124046,50.33,  41297,16.76,  136453, 55.37,  192554, 78.13,    3432, 1.39,  33084,13.42,   1917, 0.78,  117979, 47.87,  332505,134.92, 145157,58.90,   22647,    6281,   2221,   10848,    3297,  246447
"1952:Q1",  1298871,533.62,  1385095,569.04,   86224, 35.42,  437115,179.58,   947980,389.46,   53066, 21.80,  24597,10.11,   8561, 3.52,  273170,112.23, 123210,50.62,  40735,16.74,  135929, 55.84,  186382, 76.57,    3323, 1.37,  30920,12.70,   1860, 0.76,  114143, 46.89,  331585,136.23, 143838,59.09,   18348,    1784,   2559,    2943,   11062,  243408
