"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","LM154022005.Q","LM154022006.Q","LM154022075.Q","LM154022076.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC154022375.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"1966:Q2",  2842499,519.42,  3208152,586.24,  365653, 66.82,  971316,177.49,  2236836,408.75,  227232, 41.52, 100205,18.31,  38216, 6.98,  630518,115.22, 238173,43.52, 102625,18.75,  388431, 70.98,  555687,101.54,   37712, 6.89,  79074,14.45,   9994, 1.83,  409795, 74.88,  501720, 91.68, 254422,46.49,   32242,  -26987,   1366,   29937,   27926,  547242
"1966:Q1",  2810257,519.10,  3166214,584.85,  355957, 65.75,  935818,172.86,  2230396,411.99,  223358, 41.26,  97096,17.94,  35503, 6.56,  604127,111.59, 232800,43.00,  98891,18.27,  384058, 70.94,  581368,107.39,   39018, 7.21,  78025,14.41,   9677, 1.79,  400192, 73.92,  487742, 90.09, 250315,46.24,    7112,  -19586,   7216,    -207,   19689,  541375
"1965:Q4",  2803145,526.95,  3155924,593.27,  352779, 66.32,  930933,175.00,  2224991,418.27,  219449, 41.25,  97489,18.33,  35841, 6.74,  605593,113.84, 227868,42.84,  97472,18.32,  380034, 71.44,  601439,113.06,   38533, 7.24,  71438,13.43,   9048, 1.70,  391197, 73.54,  485039, 91.18, 248263,46.67,   79883,   37458,   -513,   15250,   27687,  531956
"1965:Q3",  2723263,523.84,  3066642,589.89,  343379, 66.05,  912541,175.53,  2154101,414.36,  215042, 41.37,  94391,18.16,  33946, 6.53,  593543,114.17, 224867,43.26,  94131,18.11,  369367, 71.05,  566815,109.03,   35700, 6.87,  72069,13.86,   8930, 1.72,  383910, 73.85,  471930, 90.78, 245380,47.20,   77715,   48819,   1695,    5943,   21258,  519863
"1965:Q2",  2645547,524.76,  2982010,591.49,  336463, 66.74,  903703,179.25,  2078307,412.24,  210329, 41.72,  92243,18.30,  33891, 6.72,  589142,116.86, 222135,44.06,  92426,18.33,  357787, 70.97,  521171,103.38,   32525, 6.45,  70757,14.03,   8546, 1.70,  376586, 74.70,  468067, 92.84, 242868,48.17,   -2917,  -23450,   -317,    5479,   15371,  504149
"1965:Q1",  2648465,533.94,  2975323,599.84,  326858, 65.90,  895205,180.48,  2080118,419.36,  205891, 41.51,  87645,17.67,  33322, 6.72,  585435,118.03, 219247,44.20,  90523,18.25,  351233, 70.81,  544164,109.71,   32982, 6.65,  71018,14.32,   8602, 1.73,  368711, 74.33,  463182, 93.38, 240225,48.43,   44277,   14578,   1596,    7115,   20988,  496020
"1964:Q4",  2604187,532.91,  2927550,599.08,  323363, 66.17,  884104,180.92,  2043446,418.16,  202335, 41.40,  87352,17.88,  33676, 6.89,  579830,118.65, 215398,44.08,  88876,18.19,  345826, 70.77,  530699,108.60,   31869, 6.52,  69875,14.30,   8149, 1.67,  361410, 73.96,  458149, 93.75, 237470,48.59,   43940,   12006,    647,   12685,   18602,  488675
"1964:Q3",  2560247,531.63,  2874619,596.91,  314372, 65.28,  869241,180.50,  2005378,416.41,  198076, 41.13,  84142,17.47,  32154, 6.68,  569664,118.29, 213348,44.30,  86229,17.91,  338206, 70.23,  518877,107.74,   31685, 6.58,  69385,14.41,   7992, 1.66,  355244, 73.77,  449034, 93.24, 234955,48.79,   46355,   18618,   1071,    6065,   20600,  481587
"1964:Q2",  2513892,530.54,  2821452,595.45,  307560, 64.91,  860173,181.53,  1961279,413.91,  193368, 40.81,  81812,17.27,  32380, 6.83,  565045,119.25, 210475,44.42,  84653,17.87,  327819, 69.18,  501922,105.93,   30022, 6.34,  68446,14.45,   7859, 1.66,  349050, 73.66,  444665, 93.84, 231496,48.86,   44368,   16091,    462,   13475,   14340,  473838
"1964:Q1",  2469524,536.40,  2767487,601.12,  297963, 64.72,  843874,183.29,  1923613,417.82,  188776, 41.00,  78041,16.95,  31146, 6.77,  553844,120.30, 207778,45.13,  82252,17.87,  320018, 69.51,  486613,105.70,   29240, 6.35,  68234,14.82,   7609, 1.65,  342379, 74.37,  439357, 95.43, 230163,49.99,   46853,   30994,   1746,    1652,   12461,  460392
"1963:Q4",  2422671,539.05,  2716670,604.46,  293999, 65.41,  839163,186.71,  1877507,417.75,  185106, 41.19,  77870,17.33,  31023, 6.90,  553248,123.10, 204844,45.58,  81071,18.04,  316913, 70.51,  457587,101.81,   27272, 6.07,  66655,14.83,   7442, 1.66,  336215, 74.81,  438464, 97.56, 226958,50.50,   -5341,  -27035,   1822,    5316,   14556,  449437
"1963:Q3",  2428012,551.07,  2713000,615.75,  284988, 64.68,  830885,188.58,  1882115,427.17,  180662, 41.00,  74362,16.88,  29964, 6.80,  549322,124.68, 202006,45.85,  79557,18.06,  307676, 69.83,  485481,110.19,   26413, 5.99,  65002,14.75,   7273, 1.65,  330861, 75.09,  434896, 98.71, 224513,50.96,   41773,   20737,    682,   10453,    9902,  440601
"1963:Q2",  2386238,550.16,  2663709,614.13,  277471, 63.97,  817641,188.51,  1846068,425.62,  175801, 40.53,  72217,16.65,  29453, 6.79,  540004,124.50, 199331,45.96,  78306,18.05,  300241, 69.22,  465592,107.34,   25565, 5.89,  64641,14.90,   6952, 1.60,  325541, 75.05,  434924,100.27, 222611,51.32,   32320,   22973,   -926,    1426,    8846,  433739
"1963:Q1",  2353919,548.56,  2621873,611.01,  267954, 62.44,  813441,189.57,  1808432,421.44,  171352, 39.93,  68935,16.06,  27667, 6.45,  539625,125.76, 196659,45.83,  77157,17.98,  294112, 68.54,  444237,103.53,   23948, 5.58,  65500,15.26,   7019, 1.64,  319696, 74.50,  434808,101.33, 219112,51.06,   34717,   14302,  -3652,    7823,   16245,  429107
"1962:Q4",  2319202,546.73,  2584246,609.21,  265044, 62.48,  803569,189.43,  1780677,419.78,  168307, 39.68,  69344,16.35,  27393, 6.46,  533162,125.69, 194709,45.90,  75698,17.85,  285976, 67.42,  431479,101.72,   22404, 5.28,  69232,16.32,   6939, 1.64,  314380, 74.11,  432848,102.04, 217419,51.25,  104929,   85491,   -905,    8684,   11660,  424193
"1962:Q3",  2214273,528.24,  2471822,589.68,  257549, 61.44,  793692,189.34,  1678130,400.34,  164345, 39.21,  66626,15.89,  26578, 6.34,  525874,125.45, 193602,46.19,  74216,17.71,  276819, 66.04,  348575, 83.16,   19817, 4.73,  70279,16.77,   6797, 1.62,  311276, 74.26,  428804,102.30, 215763,51.47,   39450,   19230,   1428,    4909,   13884,  419178
"1962:Q2",  2174822,523.01,  2426156,583.45,  251334, 60.44,  786518,189.15,  1639638,394.31,  160237, 38.53,  65435,15.74,  25662, 6.17,  522112,125.56, 191439,46.04,  72967,17.55,  269120, 64.72,  329923, 79.34,   19239, 4.63,  69118,16.62,   6530, 1.57,  308207, 74.12,  423949,101.95, 213552,51.36,  -94947, -109089,   -228,    5252,    9117,  415826
"1962:Q1",  2269770,553.69,  2514005,613.27,  244235, 59.58,  779404,190.13,  1734601,423.14,  156488, 38.17,  62038,15.13,  25709, 6.27,  518133,126.39, 189678,46.27,  71593,17.46,  264379, 64.49,  433425,105.73,   24826, 6.06,  69362,16.92,   6514, 1.59,  304644, 74.32,  420714,102.63, 210737,51.41,   13051,  -10194,     -5,    8391,   14860,  409933
"1961:Q4",  2256718,558.34,  2499626,618.43,  242908, 60.10,  769614,190.41,  1730012,428.02,  154027, 38.11,  63435,15.69,  25446, 6.30,  511054,126.44, 188375,46.61,  70185,17.36,  259771, 64.27,  443622,109.76,   24823, 6.14,  69387,17.17,   6494, 1.61,  301563, 74.61,  415778,102.87, 208574,51.60,   56015,   32750,   1387,    9358,   12520,  404186
"1961:Q3",  2200703,555.69,  2436485,615.23,  235782, 59.54,  759552,191.79,  1676933,423.44,  150179, 37.92,  61082,15.42,  24521, 6.19,  502979,127.01, 187768,47.41,  68805,17.37,  254476, 64.26,  412972,104.28,   22723, 5.74,  68371,17.26,   6123, 1.55,  296290, 74.82,  409729,103.46, 206248,52.08,   36436,   10653,    646,   10060,   15077,  396030
"1961:Q2",  2164267,555.75,  2395774,615.20,  231507, 59.45,  748133,192.11,  1647641,423.09,  146603, 37.65,  60597,15.56,  24307, 6.24,  494136,126.89, 186490,47.89,  67507,17.33,  248915, 63.92,  403359,103.58,   21683, 5.57,  67904,17.44,   5944, 1.53,  290970, 74.72,  404519,103.87, 204348,52.47,   22664,     615,    139,   10970,   10940,  389432
"1961:Q1",  2141603,558.21,  2366909,616.94,  225306, 58.73,  736009,191.84,  1630900,425.10,  143645, 37.44,  59339,15.47,  22322, 5.82,  484488,126.28, 185413,48.33,  66108,17.23,  245183, 63.91,  403502,105.17,   20925, 5.45,  67790,17.67,   5919, 1.54,  285235, 74.35,  400864,104.49, 201482,52.52,   50545,   41499,  -1290,   -1609,   11945,  383653
"1960:Q4",  2091058,551.21,  2315603,610.40,  224545, 59.19,  737552,194.42,  1578051,415.98,  141378, 37.27,  61248,16.15,  21919, 5.78,  486897,128.35, 185419,48.88,  65236,17.20,  241999, 63.79,  364813, 96.17,   18115, 4.78,  69154,18.23,   5845, 1.54,  279949, 73.80,  398553,105.06, 199622,52.62,   53364,   40498,   -562,    1771,   11657,  379358
"1960:Q3",  2037694,539.29,  2256756,597.27,  219062, 57.98,  734741,194.45,  1522015,402.81,  138582, 36.68,  59590,15.77,  20890, 5.53,  485654,128.53, 184431,48.81,  64656,17.11,  236950, 62.71,  326084, 86.30,   16346, 4.33,  69857,18.49,   5704, 1.51,  274432, 72.63,  395557,104.69, 197085,52.16,   -4649,  -24938,   -492,    6633,   14148,  377847
"1960:Q2",  2042343,543.59,  2256823,600.67,  214480, 57.09,  726936,193.48,  1529887,407.19,  135366, 36.03,  58622,15.60,  20492, 5.45,  479638,127.66, 183332,48.80,  63966,17.03,  230198, 61.27,  350355, 93.25,   17013, 4.53,  70504,18.77,   5549, 1.48,  268882, 71.57,  392611,104.50, 194775,51.84,   18029,    6891,    922,    4658,    5558,  375715
"1960:Q1",  2024315,545.11,  2231936,601.02,  207621, 55.91,  720531,194.03,  1511405,406.99,  132580, 35.70,  55757,15.01,  19284, 5.19,  475580,128.06, 181677,48.92,  63274,17.04,  228284, 61.47,  344367, 92.73,   16110, 4.34,  69706,18.77,   5425, 1.46,  262917, 70.80,  391557,105.44, 193038,51.98,    8229,  -21067,   5460,   12983,   10853,  371359
"1959:Q4",  2016086,549.89,  2222784,606.27,  206698, 56.38,  706020,192.57,  1516764,413.70,  130099, 35.48,  57213,15.60,  19386, 5.29,  463647,126.46, 180216,49.15,  62157,16.95,  228073, 62.21,  364772, 99.49,   16772, 4.57,  64358,17.55,   5313, 1.45,  257362, 70.20,  388616,106.00, 191497,52.23,   33590,   20297,   3544,    7946,    1803,  366634
"1959:Q3",  1982496,547.56,  2182386,602.77,  199890, 55.21,  697397,192.62,  1484989,410.15,  127007, 35.08,  53918,14.89,  18965, 5.24,  456362,126.05, 179622,49.61,  61413,16.96,  225937, 62.40,  345702, 95.48,   15545, 4.29,  61011,16.85,   5116, 1.41,  253013, 69.88,  387252,106.96, 191413,52.87,   13077,   -6287,   3260,    9471,    6633,  362062
"1959:Q2",  1969419,546.49,  2163094,600.23,  193675, 53.74,  686600,190.52,  1476494,409.71,  123346, 34.23,  51878,14.40,  18451, 5.12,  447672,124.22, 178390,49.50,  60538,16.80,  220110, 61.08,  351618, 97.57,   15916, 4.42,  57963,16.08,   4904, 1.36,  248388, 68.92,  387551,107.54, 190044,52.73,   27773,   12660,   1135,   10449,    3529,  360377
"1959:Q1",  1941645,549.70,  2128285,602.53,  186640, 52.84,  674223,190.88,  1454062,411.66,  119935, 33.95,  48991,13.87,  17714, 5.01,  438052,124.02, 176556,49.98,  59615,16.88,  217079, 61.46,  339992, 96.25,   14882, 4.21,  56944,16.12,   4788, 1.36,  243897, 69.05,  387977,109.84, 188503,53.37,   20564,    7188,   2930,    -141,   10587,  353222
"1958:Q4",  1921081,550.75,  2105227,603.54,  184146, 52.79,  670313,192.17,  1434914,411.37,  117177, 33.59,  49490,14.19,  17479, 5.01,  438440,125.70, 172603,49.48,  59270,16.99,  214964, 61.63,  333702, 95.67,   13984, 4.01,  54143,15.52,   4659, 1.34,  239493, 68.66,  387266,111.02, 186703,53.53,   30202,   11676,   1230,    9557,    7739,  348811
"1958:Q3",  1890879,550.21,  2069235,602.10,  178356, 51.90,  660430,192.17,  1408805,409.93,  114035, 33.18,  47940,13.95,  16381, 4.77,  429327,124.92, 172355,50.15,  58748,17.09,  210487, 61.25,  323831, 94.23,   12179, 3.54,  52971,15.41,   4601, 1.34,  234346, 68.19,  385536,112.18, 184854,53.79,   54194,   30291,  -1390,    9913,   15380,  343668
"1958:Q2",  1836685,546.59,  2011465,598.60,  174780, 52.01,  650043,193.45,  1361422,405.15,  111142, 33.08,  47704,14.20,  15934, 4.74,  419841,124.94, 171950,51.17,  58252,17.34,  202122, 60.15,  294974, 87.78,   10745, 3.20,  54438,16.20,   4524, 1.35,  229077, 68.17,  382512,113.83, 183030,54.47,   27298,   15562,  -1486,    5922,    7300,  336028
"1958:Q1",  1809387,543.19,  1980597,594.59,  171210, 51.40,  644343,193.44,  1336254,401.15,  108975, 32.72,  46775,14.04,  15460, 4.64,  414465,124.43, 172253,51.71,  57625,17.30,  201524, 60.50,  280533, 84.22,    9624, 2.89,  56176,16.86,   4272, 1.28,  223838, 67.20,  379183,113.83, 181105,54.37,   33384,   14886,    640,   -3247,   21105,  333104
"1957:Q4",  1776003,534.98,  1948078,586.82,  172075, 51.83,  643776,193.92,  1304302,392.89,  107374, 32.34,  49217,14.83,  15484, 4.66,  417162,125.66, 168497,50.76,  58117,17.51,  198138, 59.68,  266362, 80.24,    8909, 2.68,  55721,16.78,   4087, 1.23,  218667, 65.87,  373179,112.41, 179239,53.99,   16721,    1075,    822,    2882,   11942,  331974
