,S&P 500,S&P 500,S&P 500
Reported,Weekly,Weekly,Weekly
Date,High,Low,Close
10-21-04,"1,117.96","1,094.25","1,103.66"
10-28-04,"1,126.29","1,090.29","1,125.40"
11-4-04,"1,147.57","1,127.60","1,143.20"
11-11-04,"1,169.25","1,162.32","1,162.91"
11-18-04,"1,188.46","1,175.32","1,181.94"
11-24-04,"1,182.46","1,176.94","1,181.76"
12-2-04,"1,191.37","1,172.37","1,191.37"
12-9-04,"1,192.41","1,177.07","1,182.81"
12-16-04,"1,206.61","1,188.00","1,205.72"
12-23-04,"1,211.42","1,193.36","1,209.57"
12-30-04,"1,214.13","1,204.92","1,213.45"
1-6-05,"1,217.80","1,183.72","1,183.74"
1-13-05,"1,194.78","1,175.64","1,184.52"
1-20-05,"1,195.98","1,180.10","1,184.52"
1-27-05,"1,175.96","1,163.75","1,174.07"
2-3-05,"1,195.25","1,171.36","1,193.19"
2-10-05,"1,205.11","1,191.54","1,191.99"
2-17-05,"1,212.44","1,203.59","1,210.34"
2-24-05,"1,202.48","1,184.16","1,190.80"
3-3-05,"1,215.79","1,198.13","1,210.08"
3-10-05,"1,229.06","1,206.71","1,207.01"
3-17-05,"1,210.54","1,185.61","1,188.07"
3-24-05,"1,189.65","1,168.70","1,172.53"
3-31-05,"1,181.54","1,163.69","1,181.41"
4-7-05,"1,189.34","1,167.72","1,184.07"
4-14-05,"1,190.17","1,170.85","1,173.79"
4-21-05,"1,155.50","1,136.15","1,137.51"
4-28-05,"1,164.80","1,144.42","1,156.38"
5-5-05,"1,178.62","1,154.71","1,171.35"
5-12-05,"1,178.87","1,157.71","1,171.11"
5-19-05,"1,187.90","1,153.64","1,185.56"
5-26-05,"1,197.44","1,185.96","1,190.01"
6-2-05,"1,205.64","1,191.03","1,202.22"
6-9-05,"1,208.85","1,192.75","1,197.26"
6-16-05,"1,208.08","1,194.51","1,206.58"
6-23-05,"1,219.59","1,210.65","1,213.88"
6-30-05,"1,204.07","1,188.30","1,199.85"
7-7-05,"1,206.34","1,192.49","1,194.94"
7-14-05,"1,233.16","1,211.86","1,227.92"
7-21-05,"1,236.56","1,221.13","1,235.20"
7-28-05,"1,238.36","1,228.15","1,236.79"
8-4-05,"1,245.86","1,233.80","1,245.04"
8-11-05,"1,242.69","1,222.67","1,229.13"
8-18-05,"1,236.24","1,218.07","1,220.24"
8-25-05,"1,228.96","1,214.44","1,217.59"
9-1-05,"1,220.36","1,201.07","1,220.33"
9-8-05,"1,237.06","1,218.02","1,236.36"
9-15-05,"1,242.60","1,226.16","1,227.16"
9-22-05,"1,237.91","1,209.89","1,210.20"
9-29-05,"1,222.56","1,211.11","1,216.89"
10-6-05,"1,233.34","1,196.25","1,196.39"
10-13-05,"1,196.52","1,173.65","1,177.68"
10-20-05,"1,195.76","1,170.55","1,195.76"
10-27-05,"1,204.01","1,179.59","1,191.38"
11-3-05,"1,215.17","1,198.41","1,214.76"
11-10-05,"1,226.59","1,216.08","1,220.65"
11-17-05,"1,235.70","1,215.05","1,234.72"
11-24-05,"1,270.64","1,259.51","1,265.61"
12-1-05,"1,268.44","1,249.39","1,249.48"
12-8-05,"1,272.89","1,253.02","1,257.37"
12-15-05,"1,272.11","1,255.52","1,267.43"
12-22-05,"1,270.51","1,257.21","1,268.66"
12-29-05,"1,271.83","1,256.54","1,258.17"
1-5-06,"1,275.37","1,245.74","1,273.46"
1-12-06,"1,294.90","1,283.76","1,294.18"
1-19-06,"1,287.61","1,272.08","1,277.93"
1-26-06,"1,286.38","1,259.42","1,283.72"
2-2-06,"1,287.94","1,276.85","1,282.46"
2-9-06,"1,267.04","1,253.61","1,265.65"
2-16-06,"1,281.00","1,258.34","1,280.00"
2-23-06,"1,294.17","1,281.33","1,292.67"
3-2-06,"1,297.57","1,278.66","1,291.24"
3-9-06,"1,288.23","1,268.42","1,278.47"
3-16-06,"1,304.40","1,281.58","1,303.02"
3-23-06,"1,310.88","1,295.81","1,305.04"
3-30-06,"1,306.24","1,291.84","1,302.89"
4-6-06,"1,312.81","1,294.71","1,311.56"
4-13-06,"1,300.74","1,282.96","1,288.12"
4-20-06,"1,310.39","1,280.74","1,309.93"
4-27-06,"1,316.04","1,295.57","1,310.61"
5-4-06,"1,317.21","1,303.46","1,308.12"
5-11-06,"1,326.70","1,317.44","1,322.85"
5-18-06,"1,291.73","1,267.31","1,270.32"
5-25-06,"1,264.53","1,245.34","1,258.57"
6-1-06,"1,285.71","1,269.19","1,285.71"
6-8-06,"1,257.07","1,249.43","1,249.72"
6-15-06,"1,243.59","1,230.01","1,243.04"
6-22-06,"1,251.92","1,241.53","1,244.70"
6-29-06,"1,257.29","1,245.94","1,255.88"
7-6-06,"1,278.32","1,270.58","1,274.08"
7-13-06,"1,258.58","1,241.43","1,242.28"
7-20-06,"1,262.56","1,253.13","1,255.69"
7-27-06,"1,273.89","1,240.25","1,268.40"
8-3-06,"1,283.96","1,271.25","1,280.27"
8-10-06,"1,272.55","1,261.30","1,271.81"
8-17-06,"1,296.31","1,292.71","1,294.21"
8-24-06,"1,297.23","1,291.49","1,291.94"
8-31-06,"1,305.50","1,302.45","1,302.93"
9-7-06,"1,301.25","1,292.13","1,297.79"
9-14-06,"1,318.00","1,313.25","1,316.28"
9-21-06,"1,328.19","1,322.59","1,326.90"
9-28-06,"1,339.73","1,334.75","1,336.87"
10-5-06,"1,351.57","1,347.75","1,348.56"
10-12-06,"1,359.05","1,349.94","1,357.88"
10-19-06,"1,368.09","1,362.06","1,366.96"
10-26-06,"1,386.53","1,379.47","1,385.15"
11-2-06,"1,367.44","1,362.21","1,366.31"
11-9-06,"1,388.92","1,377.37","1,378.33"
11-16-06,"1,401.79","1,396.53","1,400.08"
11-23-06,"1,407.89","1,402.26","1,406.09"
11-30-06,"1,402.67","1,394.85","1,395.97"
12-7-06,"1,415.93","1,396.67","1,412.90"
12-14-06,"1,424.64","1,413.16","1,422.34"
12-21-06,"1,426.40","1,423.20","1,425.84"
12-28-06,"1,427.26","1,422.05","1,424.73"
1-4-07,"1,421.84","1,408.22","1,418.34"
1-11-07,"1,418.84","1,414.84","1,418.78"
1-18-07,"1,432.96","1,424.21","1,426.37"
1-25-07,"1,440.69","1,434.56","1,436.31"
2-1-07,"1,446.64","1,437.90","1,445.94"
2-8-07,"1,452.99","1,446.44","1,450.02"
2-15-07,"1,457.97","1,453.19","1,456.81"
2-22-07,"1,461.57","1,457.29","1,459.85"
3-1-07,"1,408.17","1,380.87","1,406.01"
3-8-07,"1,407.72","1,391.88","1,406.18"
3-15-07,"1,395.73","1,385.16","1,392.28"
3-22-07,"1,436.80","1,429.88","1,431.64"
3-29-07,"1,426.24","1,413.27","1,422.53"
4-5-07,"1,440.16","1,435.08","1,439.37"
4-12-07,"1,448.39","1,436.15","1,438.87"
4-19-07,"1,476.57","1,466.41","1,472.50"
4-26-07,"1,496.59","1,480.28","1,495.42"
5-3-07,"1,499.10","1,486.13","1,495.92"
5-10-07,"1,513.80","1,503.77","1,512.58"
5-17-07,"1,514.15","1,500.75","1,514.14"
5-24-07,"1,532.43","1,521.90","1,522.28"
5-31-07,"1,530.23","1,510.06","1,530.23"
6-7-07,"1,530.57","1,514.13","1,517.38"
6-14-07,"1,515.70","1,492.65","1,515.67"
6-21-07,"1,537.32","1,512.36","1,512.84"
6-28-07,"1,515.70","1,492.65","1,515.67"
7-5-07,"1,526.01","1,519.12","1,524.87"
7-12-07,"1,519.34","1,506.10","1,518.76"
7-19-07,"1,549.20","1,533.67","1,546.17"
7-26-07,"1,524.31","1,504.87","1,517.91"
8-2-07,"1,463.30","1,443.68","1,451.59"
8-9-07,"1,503.89","1,476.22","1,497.49"
8-16-07,"1,440.78","1,404.36","1,406.70"
8-23-07,"1,464.48","1,447.03","1,464.07"
8-30-07,"1,463.76","1,432.01","1,463.76"
9-6-07,"1,488.76","1,466.37","1,472.29"
9-13-07,"1,479.19","1,465.69","1,471.56"
9-20-07,"1,538.69","1,519.75","1,529.03"
9-27-07,"1,529.17","1,516.96","1,525.42"
10-4-07,"1,546.33","1,536.43","1,539.59"
10-11-07,"1,565.22","1,555.62","1,562.47"
10-18-07,"1,550.38","1,526.46","1,541.24"
10-25-07,"1,519.57","1,489.74","1,515.88"
11-1-07,"1,551.91","1,529.42","1,549.38"
11-8-07,"1,519.49","1,475.08","1,475.62"
11-15-07,"1,491.51","1,466.99","1,470.58"
11-22-07,"1,439.62","1,415.73","1,416.77"
11-29-07,"1,471.44","1,427.78","1,469.02"
12-6-07,"1,485.85","1,462.06","1,485.01"
12-13-07,"1,485.40","1,472.40","1,479.66"
12-20-07,"1,464.40","1,445.49","1,453.00"
12-27-07,"1,497.63","1,484.55","1,496.45"
1-3-08,"1,455.74","1,447.37","1,450.38"
1-10-08,"1,409.20","1,379.23","1,409.13"
1-17-08,"1,391.99","1,364.27","1,373.20"
1-24-08,"1,338.82","1,269.87","1,338.60"
1-31-08,"1,385.86","1,352.95","1,355.81"
2-7-08,"1,351.96","1,324.34","1,326.45"
2-14-08,"1,369.23","1,350.78","1,367.21"
2-21-08,"1,367.28","1,345.05","1,348.78"
2-28-08,"1,388.34","1,372.00","1,380.02"
3-6-08,"1,344.19","1,320.22","1,333.70"
3-13-08,"1,333.26","1,307.86","1,308.77"
3-20-08,"1,341.51","1,298.42","1,298.42"
3-27-08,"1,352.45","1,336.41","1,341.13"
4-3-08,"1,377.95","1,361.55","1,367.53"
4-10-08,"1,368.08","1,350.25","1,354.49"
4-17-08,"1,365.49","1,337.02","1,364.71"
4-24-08,"1,387.87","1,372.24","1,379.93"
5-1-08,"1,404.57","1,384.25","1,385.59"
5-8-08,"1,394.29","1,399.18","1,389.39"
5-15-08,"1,412.29","1,406.87","1,408.66"
5-22-08,"1,396.20","1,390.70","1,390.71"
5-29-08,"1,393.49","1,388.59","1,390.84"
6-5-08,"1,393.32","1,377.48","1,377.20"
6-12-08,"1,353.03","1,335.78","1,335.49"
6-19-08,"1,341.27","1,334.04","1,337.81"
6-26-08,"1,316.29","1,306.14","1,321.97"
7-3-08,"1,269.81","1,255.69","1,261.52"
7-10-08,"1,252.39","1,243.32","1,244.69"
7-17-08,"1,258.72","1,246.31","1,245.36"
7-24-08,"1,283.22","1,276.01","1,282.19"
7-31-08,"1,281.59","1,273.50","1,284.26"
8-7-08,"1,278.81","1,273.06","1,289.19"
8-14-08,"1,285.58","1,276.84","1,285.83"
8-21-08,"1,300.15","1,261.31","1,274.54"
8-28-08,"1,291.70","1,283.79","1,281.66"
9-4-08,"1,271.80","1,253.12","1,274.98"
9-11-08,"1,274.66","1,221.73","1,232.04"
9-18-08,"1,184.22","1,157.08","1,156.39"
9-25-08,"1,212.77","1,187.87","1,185.87"
10-2-08,"1,160.64","1,132.46","1,161.06"
10-9-08,"1,005.25",986.53,984.94
10-16-08,924.87,888.17,907.84
10-23-08,909.80,883.80,896.78
10-30-08,963.23,939.38,930.09
11-6-08,952.4,934.13,952.77
11-13-08,865.07,847.4,852.3
11-20-08,805.87,776.79,806.58
11-27-08,896.25,881.21,887.68
12-4-08,872.89,858.55,870.74
12-11-08,899.95,885.94,899.24
12-18-08,910.01,900.1,904.42
12-25-08,873.7,868.5,872.8
1-1-09,934.73,899.35,903.25
1-8-09,907.64,896.81,906.65
1-15-09,842.05,825.53,842.62
1-22-09,839.74,816.69,840.24
1-29-09,868.89,854.37,874.09
2-5-09,832.63,819.91,832.23
2-12-09,829.91,811.35,833.74
2-19-09,797.58,787.91,788.42
2-26-09,779.42,765.76,764.9
3-5-09,708.27,696.27,712.87
3-12-09,727.47,714.76,721.36
3-19-09,803.24,788.87,794.35
3-26-09,826.76,814.06,813.88
4-2-09,835.91,814.53,811.08
4-9-09,850.8,829.29,825.16
4-16-09,852.93,835.58,841.5
4-23-09,848.22,835.45,843.55
4-30-09,887.47,876.59,873.64
5-7-09,929.58,919.58,919.53
5-14-09,890.1,882.52,883.92
5-21-09,900.42,884.06,903.47
5-28-09,903.06,887.6,893.06
6-4-09,936.22,931.29,931.76
6-11-09,950.13,939.04,939.15
6-18-09,914.05,907.94,910.71
6-25-09,908.84,896.27,900.94
7-2-09,921.24,903.22,923.33
7-9-09,886.01,879.35,879.56
7-16-09,934.31,928.04,932.68
7-23-09,962.37,953.27,954.07
7-30-09,994.95,976.01,975.15
8-6-09,1008,997.59,1002.72
8-13-09,1009.54,1000.82,1005.81
8-20-09,1004.08,996.39,996.46
8-27-09,1027.81,1016.83,1028.12
9-3-09,1001.46,996.12,994.75
9-10-09,1033.94,1028.04,1033.37
9-17-09,1074.77,1066.93,1068.76
9-24-09,1066.29,1051.04,1060.87
10-1-09,1054.91,1043.65,1057.08
10-8-09,1066.86,1060.03,1057.58
10-15-09,1090.89,1086.88,1092.02
10-22-09,1101.36,1080.77,1081.4
10-29-09,1056.01,1043.69,1042.63
11-5-09,1060.98,1047.3,1046.5
11-12-09,1105.37,1063.21,1098.51
11-19-09,1106.44,1089.84,1109.8
11-26-09,1105.47,1083.74,"1,110.63"
12-3-09,1117.28,1109.24,"1,109.24"
12-10-09,1106.25,1098.69,"1,095.95"
12-17-09,1106.36,1098.16,"1,109.18"
12-24-09,1130.38,1126.17,"1,127.78"
12-31-09,1129.43,1116.56,"1,115.10"
1-7-10,1136.27,1131.32,"1,137.14"
1-14-10,1147.93,1143.8,"1,145.68"
1-21-10,1141.58,1136.52,"1,138.04"
1-28-10,1100.22,1092.63,"1,097.50"
2-4-10,1097.25,1074.86,"1,097.28"
2-11-10,1069.05,1060.59,"1,068.13"
2-18-10,1102.4,1097.48,"1,099.51"
2-25-10,"1,106.42","1,106.42","1,094.60"
3-4-10,"1,121.67","1,119.12","1,118.79"
3-11-10,"1,143.96","1,139.99","1,145.61"
3-18-10,"1,167.77","1,165.07","1,166.21"
3-25-10,"1,176.71","1,170.03","1,167.72"
4-1-10,"1,181.43","1,171.23","1,169.43"
4-8-10,"1,181.75","1,175.12","1,182.45"
4-15-10,"1,210.77","1,208.64","1,210.65"
4-22-10,"1,202.52","1,190.19","1,205.94"
4-29-10,"1,202.59","1,193.30","1,191.36"
5-6-10,"1,166.65","1,161.74","1,165.87"
5-13-10,"1,170.61","1,164.48","1,171.67"
5-20-10,"1,107.34","1,088.33","1,115.05"
5-27-10,"1,089.60","1,074.27","1,067.95"
6-3-10,"1,105.67","1,098.82","1,098.38"
6-10-10,"1,083.05","1,058.77","1,055.69"
6-17-10,"1,117.72","1,106.38","1,114.61"
6-24-10,"1,090.93","1,079.17","1,092.04"
7-1-10,"1,033.58","1,021.65","1,030.71"
7-8-10,"1,071.25","1,062.92","1,060.27"
7-15-10,"1,095.17","1,080.53","1,095.17"
7-22-10,"1,094.59","1,072.14","1,069.59"
7-29-10,"1,115.90","1,109.63","1,106.13"
8-5-10,"1,124.75","1,118.81","1,127.24"
8-12-10,"1,083.88","1,076.69","1,089.47"
8-19-10,"1,092.44","1,077.35","1,094.16"
8-26-10,"1,060.25","1,055.38","1,055.33"
9-2-10,"1,086.55","1,080.39","1,080.29"
9-9-10,"1,103.26","1,092.36","1,091.84"
9-16-10,"1,123.89","1,118.90","1,125.07"
9-23-10,"1,132.97","1,123.46","1,134.24"
9-30-10,"1,157.16","1,145.97","1,144.73"
10-7-10,"1,163.87","1,156.50","1,159.97"
10-14-10,"1,177.95","1,174.04","1,178.10"
10-21-10,"1,188.52","1,179.82","1,178.17"
10-28-10,"1,189.53","1,184.47","1,182.45"
11-4-10,"1,213.05","1,198.34","1,197.96"
11-11-10,"1,227.08","1,220.29","1,225.85"
11-18-10,"1,226.84","1,173.00","1,223.25"
11-25-10,"1,200.29","1,198.35","1,199.73"
12-2-10,"1,207.61","1,186.93","1,206.07"
12-9-10,"1,235.05","1,186.60","1,228.28"
12-16-10,"1,246.72","1,240.34","1,241.59"
12-23-10,"1,259.39","1,254.94","1,258.84"
12-30-10,"1,262.60","1,258.78","1,259.78"
1-6-11,"1,277.63","1,254.19","1,276.56"
1-13-11,"1,286.87","1,275.65","1,285.96"
1-20-11,"1,296.06","1,290.16","1,295.02"
1-27-11,"1,299.74","1,291.97","1,296.63"
2-3-11,"1,308.86","1,275.10","1,304.03"
2-10-11,"1,324.87","1,316.03","1,324.57"
2-17-11,"1,337.61","1,329.51","1,336.32"
2-24-11,"1,344.07","1,338.12","1,343.01"
3-3-11,"1,332.09","1,320.55","1,327.22"
3-10-11,"1,332.28","1,312.59","1,321.82"
3-17-11,"1,315.72","1,294.21","1,304.28"
3-24-11,"1,300.58","1,292.70","1,298.38"
3-31-11,"1,331.74","1,321.89","1,328.26"
4-7-11,"1,339.38","1,328.89","1,335.54"
4-14-11,"1,339.46","1,309.19","1,314.41"
4-21-11,"1,332.66","1,319.12","1,330.36"
4-28-11,"1,349.55","1,336.75","1,347.24"
5-5-11,"1,370.58","1,358.69","1,363.61"
5-12-11,"1,359.44","1,348.34","1,357.16"
5-19-11,"1,351.05","1,333.36","1,348.65"
5-26-11,"1,346.82","1,336.36","1,343.60"
6-2-11,"1,345.20","1,314.41","1,314.55"
6-9-11,"1,312.94","1,297.90","1,300.16"
6-16-11,"1,294.54","1,279.63","1,289.00"
6-23-11,"1,298.61","1,286.79","1,295.52"
6-30-11,"1,309.21","1,296.85","1,307.41"
7-7-11,"1,341.01","1,334.30","1,339.67"
7-14-11,"1,356.48","1,313.33","1,317.72"
7-21-11,"1,330.43","1,295.92","1,325.84"
7-28-11,"1,347.00","1,303.49","1,304.89"
8-4-11,"1,316.32","1,234.56","1,260.34"
8-11-11,"1,260.23","1,101.54","1,120.76"
8-18-11,"1,208.47","1,121.30","1,193.88"
8-25-11,"1,190.68","1,121.09","1,159.27"
9-1-11,"1,230.71","1,135.91","1,218.89"
9-8-11,"1,229.29","1,140.13","1,198.62"
9-15-11,"1,204.40","1,136.07","1,188.68"
9-22-11,"1,220.39","1,157.44","1,166.76"
9-29-11,"1,220.39","1,114.22","1,151.06"
10-6-11,"1,195.86","1,074.77","1,144.04"
10-13-11,"1,220.25","1,074.77","1,207.25"
10-20-11,"1,233.10","1,187.30","1,209.88"
10-27-11,"1,256.55","1,191.48","1,242.00"
11-3-11,"1,292.66","1,215.42","1,237.90"
11-10-11,"1,277.55","1,215.42","1,229.10"
11-17-11,"1,277.55","1,226.64","1,236.91"
11-24-11,"1,259.61","1,158.66","1,158.67"
12-1-11,"1,247.11","1,158.66","1,246.96"
12-8-11,"1,267.06","1,191.80","1,261.01"
12-15-11,"1,267.06","1,209.47","1,211.82"
12-22-11,"1,249.86","1,202.37","1,243.72"
12-29-11,"1,269.37","1,202.37","1,249.64"
1-5-12,"1,284.62","1,248.64","1,277.30"
1-12-12,"1,296.82","1,265.26","1,295.50"
1-19-12,"1,308.11","1,274.55","1,308.04"
1-26-12,"1,328.30","1,290.22","1,326.06"
2-2-12,"1,333.47","1,300.49","1,324.09"
2-9-12,"1,351.00","1,306.69","1,349.96"
2-16-12,"1,355.87","1,335.92","1,343.23"
2-23-12,"1,367.76","1,340.80","1,357.66"
3-1-12,"1,378.04","1,352.28","1,365.68"
3-8-12,"1,378.04","1,340.03","1,352.63"
3-15-12,"1,399.42","1,340.03","1,394.28"
3-22-12,"1,414.00","1,371.92","1,402.89"
3-29-12,"1,419.15","1,386.87","1,405.54"
4-5-12,"1,422.38","1,391.56","1,398.96"
4-12-12,"1,422.38","1,357.38","1,368.71"
4-19-12,"1,392.76","1,357.38","1,385.14"
4-26-12,"1,392.76","1,358.79","1,390.69"
5-3-12,"1,415.32","1,366.82","1,402.31"
5-10-12,"1,415.32","1,343.13","1,354.58"
5-17-12,"1,369.16","1,324.79","1,324.80"
5-24-12,"1,344.94","1,291.98","1,318.86"
5-31-12,"1,334.93","1,295.73","1,313.32"
6-7-12,"1,334.93","1,266.74","1,315.13"
6-14-12,"1,335.52","1,274.16","1,314.88"
6-21-12,"1,363.46","1,306.62","1,355.69"
6-28-12,"1,363.46","1,309.27","1,331.85"
7-5-12,"1,374.81","1,313.29","1,374.02"
7-12-12,"1,374.81","1,333.25","1,341.45"
7-19-12,"1,375.26","1,325.41","1,372.78"
7-26-12,"1,380.39","1,329.24","1,337.89"
8-2-12,"1,391.74","1,329.24","1,375.14"
8-9-12,"1,407.14","1,354.65","1,402.22"
8-16-12,"1,410.03","1,394.46","1,405.53"
8-23-12,"1,426.68","1,400.60","1,413.49"
8-30-12,"1,426.68","1,398.04","1,410.49"
9-6-12,"1,416.17","1,396.56","1,403.44"
9-13-12,"1,439.15","1,396.56","1,436.56"
9-20-12,"1,474.51","1,429.13","1,461.05"
9-27-12,"1,467.07","1,430.53","1,433.32"
10-4-12,"1,463.24","1,430.53","1,450.99"
10-11-12,"1,470.96","1,430.64","1,432.56"
10-18-12,"1,462.20","1,425.53","1,460.91"
10-25-12,"1,464.02","1,407.10","1,408.75"
11-1-12,"1,457.34","1,403.28","1,412.16"
11-8-12,"1,433.38","1,388.14","1,394.53"
11-15-12,"1,433.38","1,352.50","1,355.49"
11-22-12,"1,391.25","1,343.35","1,391.03"
11-28-12,"1,409.15","1,359.88","1,409.93"
12-6-12,"1,416.34","1,385.43","1,409.28"
12-13-12,"1,438.59","1,398.23","1,428.48"
12-20-12,"1,448.00","1,411.88","1,435.81"
12-27-12,"1,443.70","1,416.43","1,419.83"
1-3-13,"1,462.43","1,398.11","1,462.42"
1-10-13,"1,467.94","1,398.11","1,461.02"
1-17-13,"1,473.96","1,451.64","1,472.63"
1-24-13,"1,496.13","1,463.76","1,494.81"
1-31-13,"1,509.94","1,481.16","1,501.96"
2-7-13,"1,514.96","1,495.02","1,512.12"
2-14-13,"1,524.69","1,495.71","1,520.33"
2-21-13,"1,530.94","1,511.41","1,511.95"
2-28-13,"1,530.94","1,485.01","1,515.99"
3-7-13,"1,545.25","1,485.01","1,541.46"
3-14-13,"1,556.77","1,541.46","1,554.52"
3-21-13,"1,563.62","1,538.57","1,558.71"
3-28-13,"1,564.91","1,538.57","1,562.85"
4-4-13,"1,573.66","1,546.22","1,553.69"
4-11-13,"1,589.07","1,539.50","1,587.73"
4-18-13,"1,597.35","1,543.69","1,552.01"
4-25-13,"1,583.00","1,536.03","1,578.79"
5-2-13,"1,597.57","1,562.50","1,582.70"
5-9-13,"1,632.78","1,581.28","1,632.69"
5-16-13,"1,661.49","1,616.64","1,658.78"
5-23-13,"1,687.18","1,633.75","1,655.35"
5-30-13,"1,663.52","1,636.42","1,648.36"
6-6-13,"1,674.21","1,607.09","1,608.90"
6-13-13,"1,648.69","1,598.23","1,612.52"
6-20-13,"1,654.19","1,608.07","1,628.93"
6-27-13,"1,654.19","1,560.33","1,603.26"
7-4-13,"1,632.07","1,592.27","1,631.89"
7-11-13,"1,657.92","1,604.57","1,652.62"
7-18-13,"1,684.75","1,642.89","1,680.91"
7-25-13,"1,698.78","1,671.84","1,685.94"
8-1-13,"1,698.78","1,676.03","1,685.73"
8-8-13,"1,709.67","1,682.42","1,690.91"
8-15-13,"1,705.79","1,682.62","1,685.39"
8-22-13,"1,696.81","1,639.43","1,642.80"
8-29-13,"1,669.51","1,627.47","1,634.96"
9-5-13,"1,655.72","1,628.05","1,653.08"
9-12-13,"1,689.13","1,633.41","1,689.13"
9-19-13,"1,729.44","1,674.32","1,725.52"
9-26-13,"1,729.86","1,691.70","1,692.77"
10-3-13,"1,725.23","1,674.99","1,693.87"
10-10-13,"1,696.55","1,646.47","1,656.40"
10-17-13,"1,721.76","1,646.47","1,721.54"
10-24-13,"1,759.33","1,695.93","1,746.38"
10-31-13,"1,775.22","1,740.50","1,763.31"
11-7-13,"1,775.22","1,752.70","1,770.49"
11-14-13,"1,782.00","1,746.20","1,782.00"
11-21-13,"1,802.33","1,760.64","1,781.37"
11-28-13,"1,808.42","1,777.23","1,807.23"
12-5-13,"1,813.55","1,779.09","1,792.81"
12-12-13,"1,811.52","1,779.09","1,782.22"
12-19-13,"1,811.08","1,767.99","1,810.65"
12-26-13,"1,833.32","1,767.99","1,833.32"
1-2-14,"1,849.44","1,810.25","1,848.36"
1-9-14,"1,849.44","1,823.73","1,837.49"
1-16-14,"1,850.84","1,815.52","1,848.38"
1-23-14,"1,850.84","1,815.52","1,844.86"
1-30-14,"1,850.84","1,815.52","1,844.86"
2-6-14,"1,798.77","1,737.92","1,751.64"
2-13-14,"1,826.55","1,737.92","1,819.26"
2-20-14,"1,847.50","1,826.99","1,828.75"
2-27-14,"1,858.71","1,824.58","1,845.16"
3-6-14,"1,876.53","1,834.44","1,873.81"
3-13-14,"1,883.57","1,849.23","1,868.20"
3-20-14,"1,882.35","1,839.57","1,860.77"
3-27-14,"1,883.97","1,849.69","1,852.56"
4-3-14,"1,893.17","1,842.11","1,890.90"
4-10-14,"1,897.28","1,837.49","1,872.18"
4-17-14,"1,872.53","1,814.36","1,862.31"
4-24-14,"1,884.89","1,815.80","1,875.39"
5-1-14,"1,885.20","1,850.61","1,883.95"
5-8-14,"1,891.33","1,859.79","1,878.21"
5-15-14,"1,902.17","1,859.79","1,888.53"
5-22-14,"1,902.17","1,862.36","1,888.03"
5-29-14,"1,914.46","1,868.14","1,909.78"
6-5-14,"1,928.63","1,902.01","1,927.88"
6-12-14,"1,955.55","1,918.60","1,943.89"
6-19-14,"1,957.74","1,925.78","1,956.98"
6-26-14,"1,968.17","1,933.55","1,959.53"
7-3-14,"1,978.58","1,944.69","1,974.62"
7-10-14,"1,985.59","1,958.22","1,972.83"
7-17-14,"1,983.94","1,952.86","1,981.57"
7-24-14,"1,989.23","1,955.59","1,987.01"
7-31-14,"1,991.39","1,962.42","1,970.07"
8-7-14,"1,984.85","1,911.45","1,920.24"
8-14-14,"1,936.34","1,904.78","1,946.72"
8-21-14,"1,988.57","1,928.29","1,986.51"
8-28-14,"2,005.04","1,972.73","2,000.12"
9-4-14,"2,009.28","1,990.52","2,000.72"
9-11-14,"2,011.17","1,982.99","1,995.69"
9-18-14,"2,010.74","1,978.48","2,001.57"
9-25-14,"2,019.26","1,978.63","1,998.30"
10-2-14,"1,999.79","1,941.72","1,946.16"
10-9-14,"1,985.17","1,925.25","1,968.89"
10-16-14,"1,970.36","1,820.66","1,862.49"
10-23-14,"1,949.31","1,820.66","1,927.11"
10-30-14,"1,991.40","1,909.38","1,982.30"
11-6-14,"2,024.46","1,964.14","2,023.57"
11-13-14,"2,041.28","2,001.01","2,038.25"
11-20-14,"2,056.08","2,030.44","2,048.72"
11-27-14,"2,075.76","2,040.37","2,067.56"
12-4-14,"2,076.28","2,049.57","2,074.33"
12-11-14,"2,079.47","2,024.26","2,026.14"
12-18-14,"2,060.60","2,002.33","2,012.89"
12-25-14,"2,093.55","2,018.98","2,090.57"
1-1-15,"2,093.55","2,017.34","2,020.58"
1-8-15,"2,093.55","1,992.44","2,025.90"
1-15-15,"2,064.43","1,988.44","2,011.27"
1-22-15,"2,056.93","1,988.12","2,032.12"
1-29-15,"2,064.62","2,001.49","2,002.16"
2-5-15,"2,057.62","1,980.90","2,050.03"
2-12-15,"2,073.48","2,022.71","2,068.53"
2-19-15,"2,101.30","2,041.88","2,099.68"
2-26-15,"2,119.59","2,085.44","2,113.86"
3-5-15,"2,119.59","2,087.62","2,098.53"
3-12-15,"2,115.76","2,039.69","2,040.24"
3-19-15,"2,106.85","2,039.69","2,099.50"
3-26-15,"2,114.86","2,061.05","2,061.05"
4-2-15,"2,107.63","2,045.50","2,059.69"
4-9-15,"2,089.81","2,048.38","2,081.90"
4-16-15,"2,111.91","2,073.30","2,106.63"
4-23-15,"2,111.91","2,072.37","2,107.96"
4-30-15,"2,125.92","2,091.05","2,106.85"
5-7-15,"2,120.95","2,067.93","2,080.15"
5-14-15,"2,117.69","2,067.93","2,098.48"
5-21-15,"2,134.72","2,085.57","2,125.85"
5-28-15,"2,134.72","2,099.18","2,123.48"
