DATE,TB3MS_CHG
1934-04-01,-0.37333333333333333334
1934-07-01,0.03000000000000000000
1934-10-01,0.06666666666666666667
1935-01-01,-0.07000000000000000000
1935-04-01,-0.03000000000000000000
1935-07-01,0.02000000000000000000
1935-10-01,0.00000000000000000000
1936-01-01,0.03000000000000000000
1936-04-01,0.00000000000000000000
1936-07-01,-0.03000000000000000000
1936-10-01,-0.05000000000000000000
1937-01-01,0.11333333333333333333
1937-04-01,0.21000000000000000000
1937-07-01,-0.15000000000000000000
1937-10-01,-0.16000000000000000000
1938-01-01,-0.04666666666666666666
1938-04-01,-0.02333333333333333334
1938-07-01,0.00666666666666666667
1938-10-01,-0.03000000000000000000
1939-01-01,-0.01000000000000000000
1939-04-01,0.00000000000000000000
1939-07-01,0.04666666666666666667
1939-10-01,-0.03000000000000000000
1940-01-01,-0.03000000000000000000
1940-04-01,0.04333333333333333333
1940-07-01,-0.01333333333333333333
1940-10-01,-0.02666666666666666667
1941-01-01,0.03666666666666666667
1941-04-01,0.05333333333333333333
1941-07-01,0.00666666666666666667
1941-10-01,0.11666666666666666666
1942-01-01,0.02333333333333333334
1942-04-01,0.09666666666666666666
1942-07-01,0.02666666666666666667
1942-10-01,0.00000000000000000000
1943-01-01,0.00000000000000000000
1943-04-01,0.00000000000000000000
1943-07-01,0.00000000000000000000
1943-10-01,0.00000000000000000000
1944-01-01,0.00000000000000000000
1944-04-01,0.00000000000000000000
1944-07-01,0.00000000000000000000
1944-10-01,0.00000000000000000000
1945-01-01,0.00000000000000000000
1945-04-01,0.00000000000000000000
1945-07-01,0.00000000000000000000
1945-10-01,0.00000000000000000000
1946-01-01,0.00000000000000000000
1946-04-01,0.00000000000000000000
1946-07-01,0.00000000000000000000
1946-10-01,0.00000000000000000000
1947-01-01,0.00000000000000000000
1947-04-01,0.00000000000000000000
1947-07-01,0.35666666666666666667
1947-10-01,0.17000000000000000000
1948-01-01,0.08333333333333333333
1948-04-01,0.01000000000000000000
1948-07-01,0.05000000000000000000
1948-10-01,0.09000000000000000000
1949-01-01,0.03000000000000000000
1949-04-01,0.00000000000000000000
1949-07-01,-0.12666666666666666667
1949-10-01,0.03333333333333333334
1950-01-01,0.02666666666666666666
1950-04-01,0.05000000000000000000
1950-07-01,0.06666666666666666667
1950-10-01,0.11666666666666670000
1951-01-01,0.0300000000000000
1951-04-01,0.1233333333333333
1951-07-01,0.1133333333333333
1951-10-01,0.0066666666666667
1952-01-01,-0.0433333333333333
1952-04-01,0.0800000000000000
1952-07-01,0.1366666666666666
1952-10-01,0.1100000000000000
1953-01-01,0.0866666666666667
1953-04-01,0.1733333333333333
1953-07-01,-0.1966666666666666
1953-10-01,-0.4833333333333334
1954-01-01,-0.41333333333333330000
1954-04-01,-0.27000000000000000000
1954-07-01,0.09333333333333333333
1954-10-01,0.13666666666666666667
1955-01-01,0.20333333333333333333
1955-04-01,0.25999999999999996667
1955-07-01,0.3733333333333334
1955-10-01,0.4800000000000000
1956-01-01,-0.0100000000000000
1956-04-01,0.2400000000000000
1956-07-01,0.0166666666666666
1956-10-01,0.4500000000000000
1957-01-01,0.0633333333333334
1957-04-01,0.0433333333333333
1957-07-01,0.2133333333333333
1957-10-01,-0.0433333333333333
1958-01-01,-1.5533333333333333
1958-04-01,-0.80000000000000003333
1958-07-01,0.72333333333333333333
1958-10-01,1.0100000000000000
1959-01-01,0.0833333333333333
1959-04-01,0.2266666666666667
1959-07-01,0.5400000000000000
1959-10-01,0.6900000000000000
1960-01-01,-0.3566666666666667
1960-04-01,-0.8800000000000000
1960-07-01,-0.6333333333333333
1960-10-01,-0.0533333333333333
1961-01-01,0.0433333333333333
1961-04-01,-0.0466666666666667
1961-07-01,0.0000000000000000
1961-10-01,0.1566666666666667
1962-01-01,0.2633333333333333
1962-04-01,-0.0066666666666666
1962-07-01,0.1233333333333333
1962-10-01,-0.0266666666666667
1963-01-01,0.0933333333333334
1963-04-01,0.0333333333333333
1963-07-01,0.3533333333333333
1963-10-01,0.2033333333333334
1964-01-01,0.0333333333333333
1964-04-01,-0.0533333333333333
1964-07-01,0.0200000000000000
1964-10-01,0.1866666666666666
1965-01-01,0.2066666666666667
1965-04-01,-0.0166666666666667
1965-07-01,-0.0066666666666666
1965-10-01,0.3000000000000000
1966-01-01,0.4433333333333333
1966-04-01,-0.0233333333333333
1966-07-01,0.4566666666666666
1966-10-01,0.1666666666666667
1967-01-01,-0.6966666666666667
1967-04-01,-0.8533333333333333
1967-07-01,0.6400000000000000
1967-10-01,0.4533333333333333
1968-01-01,0.2966666666666667
1968-04-01,0.4700000000000000
1968-07-01,-0.3233333333333333
1968-10-01,0.3900000000000000
1969-01-01,0.5066666666666666
1969-04-01,0.1033333333333334
1969-07-01,0.8266666666666666
1969-10-01,0.3300000000000000
1970-01-01,-0.1433333333333333
1970-04-01,-0.5333333333333333
1970-07-01,-0.3500000000000000
1970-10-01,-0.9733333333333334
1971-01-01,-1.5133333333333333
1971-04-01,0.4100000000000000
1971-07-01,0.7600000000000000
1971-10-01,-0.7800000000000000
1972-01-01,-0.7933333333333333
1972-04-01,0.3333333333333333
1972-07-01,0.4500000000000000
1972-10-01,0.6433333333333333
1973-01-01,0.8366666666666667
1973-04-01,0.9033333333333333
1973-07-01,1.7200000000000000
1973-10-01,-0.8233333333333333
1974-01-01,0.1166666666666667
1974-04-01,0.5366666666666666
1974-07-01,0.0366666666666667
1974-10-01,-0.8300000000000000
1975-01-01,-1.6100000000000000
1975-04-01,-0.3566666666666667
1975-07-01,0.9366666666666667
